zip code,foodsize,sumincome,INTPTLAT,INTPTLONG                                                                                                                       ,sumpop
11362,55,95379900.0,40.756574,-73.737845,2100.0
11363,12,12962880.0,40.772616,-73.746526,480.0
11364,53,4509397200.0,40.745296,-73.760607,46200.0
11365,49,3991103100.0,40.739634,-73.79449,25860.0
11366,61,1756984080.0,40.728152,-73.785019,13080.0
11367,54,754466460.0,40.730145,-73.82703,7260.0
11368,308,1477474080.0,40.749407,-73.85278,8160.0
11369,84,172272360.0,40.763336,-73.872443,1560.0
11370,27,3552940440.0,40.76537,-73.893243,40860.0
11372,333,2071555380.0,40.75169,-73.883638,14220.0
11373,229,875901000.0,40.738825,-73.878508,7800.0
11374,98,952748160.0,40.726388,-73.861509,6720.0
11375,199,27159120.0,40.720936,-73.846151,720.0
11377,217,90105600.0,40.744788,-73.905181,3900.0
11378,85,21117600.0,40.724744,-73.909639,1440.0
11379,48,8519160.0,40.716748,-73.879601,780.0
11385,282,390362040.0,40.700671,-73.889433,5220.0
11411,23,2077920.0,40.694021,-73.736218,180.0
11412,47,5680199160.0,40.698095,-73.758986,53160.0
11413,45,5631209520.0,40.671659,-73.752568,30540.0
11414,52,4235336040.0,40.657604,-73.844804,20280.0
11415,36,4053708180.0,40.707917,-73.828212,16740.0
11416,40,18810667080.0,40.684654,-73.849548,28680.0
11417,70,3906242040.0,40.676446,-73.844443,8040.0
11418,90,4752908640.0,40.700272,-73.835971,48120.0
11419,92,5844323100.0,40.688673,-73.822918,31020.0
11420,87,5260969440.0,40.673584,-73.817733,22560.0
11421,81,4957392060.0,40.694062,-73.858626,18540.0
11422,40,15844328400.0,40.66006,-73.736012,26760.0
11423,32,697154040.0,40.715606,-73.768471,3720.0
11426,35,110728200.0,40.736459,-73.722376,3300.0
11427,21,52769280.0,40.730887,-73.745676,1920.0
11428,38,91169640.0,40.721016,-73.742245,2040.0
11429,23,2952720.0,40.70977,-73.738665,240.0
11430,158,8013772800.0,40.647126,-73.78563,59400.0
11432,190,1685617200.0,40.715359,-73.793071,12900.0
11433,29,527947200.0,40.698162,-73.786893,6060.0
11434,86,848889600.0,40.676808,-73.776425,6240.0
11435,111,47360640.0,40.701265,-73.809605,960.0
11436,21,7240089960.0,40.67582,-73.796617,56580.0
11691,48,1279104120.0,40.601278,-73.761651,9420.0
11692,12,6835823280.0,40.594095,-73.792896,17160.0
11693,36,7288214520.0,40.590692,-73.809749,9480.0
11694,41,730288980.0,40.57827,-73.844762,19980.0
11697,5,564021120.0,40.555681,-73.920688,6240.0
